,COMPOUND_ID,SOURCES,PCT_IHB_3D7,PCT_INHB_DD2,PCT_INHIB_3D7_PFLDH,pXC50_3D7,SMILES
58,538376,"TCMDC-135225, 638376 (CHEMBL)",98.0,78.0,0.0,6.54514,CCNc1cc(cc(c1)N2CCCCS2(=O)=O)C(=O)N[C@@H](Cc3cccc(c3)Cl)[C@@H](CNC(C)CCCC(C)C)O.Cl
59,538378,"TCMDC-125291, 638378 (CHEMBL), COMMERCIAL",88.0,28.0,0.0,5.97647,COc1cccc(c1)C2=CC(n3c(c(cn3)C(=O)Nc4ccc(cc4)Cl)N2)c5ccccc5
60,538382,"TCMDC-131474, 638382 (CHEMBL)",97.0,95.0,0.0,6.02669,CC(Cc1ccc(c(c1)Cl)OCc2ccccc2)NCC(c3cccc(c3)C(F)(F)F)O
61,538418,"TCMDC-140255, 638418 (CHEMBL)",91.0,87.0,6.0,6.02543,CC(=O)Nc1ccc(cc1)CN(Cc2ccc(cc2)F)Cc3ccc4c(c3)OCO4
62,538419,"TCMDC-135882, 638419 (CHEMBL)",99.0,98.0,4.0,6.41946,CCc1ccnc2c1cc(cc2N3CCCC3=O)C(=O)N[C@@H](Cc4ccccc4)[C@@H](CNC5CCOCC5)O.C(=O)O
63,507953,"TCMDC-124209, 607953 (CHEMBL), COMMERCIAL",100.0,99.0,3.0,6.16067,Cc1cc(c2cc(ccc2n1)OC)Nc3ccc(c(c3)Cl)Oc4ccc5ccccc5c4
64,538465,"TCMDC-131576, 638465 (CHEMBL)",93.0,1.0,0.0,6.71562,CC1(N=C(N=C(N1O)N)N)C.Cl
65,538500,"TCMDC-135965, 638500 (CHEMBL)",95.0,86.0,0.0,6.15979,CC(C)C[C@@H](C(=O)N[C@@H](CCc1ccccc1)/C=N/NC(=O)C)NC(=O)c2ccc(cc2)F
66,543049,"TCMDC-123891, 643049 (CHEMBL), COMMERCIAL",100.0,88.0,0.0,6.45974,CC(C)Sc1nc-2c(c(=O)n1CCc3ccccc3)C4(CCCC4)Cc5c2cccc5
67,538577,"TCMDC-140580, 638577 (CHEMBL)",100.0,59.0,4.0,6.75326,c1ccc(cc1)CCNCc2cccc(c2)c3ccccc3CN(C4CCN(CC4)Cc5ccccc5)C(=O)Nc6ccccc6.C(=O)(C(F)(F)F)O
68,538581,"TCMDC-133691, 638581 (CHEMBL)",96.0,92.0,1.0,6.17245,CC(C)c1c(nc(s1)c2ccc(cc2)C(C)(C)C)C(=O)NCCCN3CCCC3=O
69,538585,"TCMDC-125161, 638585 (CHEMBL), COMMERCIAL",96.0,20.0,0.0,6.063,Cc1ccc(cc1)n2c(=O)c3cccnc3n2CC(=O)Nc4cccc(c4C)C
70,538696,"TCMDC-139625, 638696 (CHEMBL)",91.0,21.0,3.0,5.9239,CN(CCC(CCN1CCC(CC1)c2c[nH]c3c2cccc3)c4ccccc4)C(=O)Nc5ccc(c(c5)Cl)Cl
71,538697,"TCMDC-132581, 638697 (CHEMBL)",95.0,74.0,2.0,6.08227,CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2cc(ccc2Cn3ccc(nc3=O)N4CCNCC4)Cl.C(=O)(C(F)(F)F)O
72,538699,"TCMDC-132050, 638699 (CHEMBL)",98.0,0.0,8.0,6.05982,CCc1c(ccc(c1OC)OC)CCNCCCCCCNCCc2ccc(cc2)OC.Cl
73,538735,"TCMDC-137572, 638735 (CHEMBL)",100.0,70.0,0.0,6.29045,CCCCN1CCN(CC1)CCCNc2c3ccccc3nc4c2cccc4.Cl
74,538185,"TCMDC-125261, 638185 (CHEMBL), COMMERCIAL",86.0,32.0,2.0,5.78808,Cc1cc(c(cc1NC(=O)c2cccc3c2oc(c(c3=O)C)c4ccccc4)OC)OC
75,524830,"TCMDC-131311, 624830 (CHEMBL)",99.0,0.0,4.0,6.60342,CC(=O)Nc1c(nc([nH]1)c2ccccc2)C(=O)N
76,541439,"TCMDC-134858, 641439 (CHEMBL)",100.0,91.0,1.0,6.0692,Cc1ccc(cc1)CNC(=O)[C@H](Cc2ccccc2)Nc3cc(nc(n3)Nc4ccccc4)C.C(=O)(C(F)(F)F)O
